Simulation_AT3_TP3_TPR2_DOC1
Year	Month	Day	GlobalRadiation	CloudCover	AirTemperature	RelativeHumidity	AirPressure	WindSpeed	Precipitation	InflowQ	InflowT	InflowC	InflowSS	InflowTP	InflowDOP	InflowChla	InflowDOC	InflowDIC	InflowO	InflowNO3	InflowNH4	InflowSO4	InflowFe2	InflowCa2	InflowpH	InflowCH4	InflowFe3	InflowAl3	InflowSiO4	InflowSiO2	Inflowdiatom
2010	5	1	NaN	0.75	12.34	69	938	1.4	8.2	16604	10.858	0	513.91	3.85205479452055	0.01	0.01	10278	54521	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	5	2	NaN	0.25	5.97	51	950	1.2	7.4	14421	9.875	0	512.02	3.85082191780822	0.01	0.01	10240	52734	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	5	3	NaN	0.412	9.06	48	954	1.9	0	10223	10.085	0	516.88	3.84958904109589	0.01	0.01	10338	52285	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	5	4	NaN	0.162	9.81	41	956	2.9	0	7940	5.09	0	520.86	3.84835616438356	0.01	0.01	10417	52305	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	5	5	NaN	0.338	6.53	38	957	1.1	0	6601.9	5.6525	0	524.19	3.84712328767123	0.01	0.01	10484	52580	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	5	6	NaN	0.662	8.59	52	957	1.3	0.1	5750.1	7.34	0	527.11	3.8458904109589	0.01	0.01	10542	53007	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	5	7	NaN	0.338	9.72	45	960	1.5	0	5155.9	8.6075	0	529.79	3.84465753424658	0.01	0.01	10596	53537	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	5	8	NaN	0.088	10.46	46	953	1.8	0	4704	9.59	0	532.41	3.84342465753425	0.01	0.01	10648	54145	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	5	9	NaN	0.788	11.96	50	943	1.6	0	4335.5	10.295	0	534.89	3.84219178082192	0.01	0.01	10698	54814	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	5	10	NaN	0.662	9.06	50	940	1.6	2.3	4798.3	10.363	0	534.89	3.84095890410959	0.01	0.01	10698	55208	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	5	11	NaN	0.162	6.72	46	947	1	0.6	4305	11.067	0	537.26	3.83972602739726	0.01	0.01	10745	55864	8000	0	0	0	0	0	0	0	0	0	0	0	0
